original_article,duplicate_article,link1_length,link2_length,link3_length,link4_length,is circular reporting?
postimees.ee/7970066,postimees.ee/7946395,3,2,3,,FALSE
postimees.ee/7970066,postimees.ee/7965709,3,2,,,FALSE
postimees.ee/7967733,postimees.ee/7946395,2,3,,,FALSE
postimees.ee/7967733,postimees.ee/7952124,2,3,,,FALSE
postimees.ee/7965440,postimees.ee/7964906,3,2,,,FALSE
postimees.ee/7957731,postimees.ee/7715228,2,3,,,FALSE
postimees.ee/7950339,postimees.ee/7197444,2,3,,,FALSE
postimees.ee/7927491,postimees.ee/4513933,2,3,,,FALSE
postimees.ee/7924218,err.ee/1609199110,3,3,,,TRUE
postimees.ee/7866581,postimees.ee/7018176,3,2,,,FALSE
postimees.ee/7720808,postimees.ee/7719754,3,2,,,FALSE
postimees.ee/7713116,postimees.ee/7465094,3,2,,,FALSE
postimees.ee/7661567,postimees.ee/7659128,2,2,,,FALSE
postimees.ee/7631626,postimees.ee/7514757,2,3,,,FALSE
postimees.ee/7621685,postimees.ee/7615529,3,2,,,FALSE
postimees.ee/7615219,postimees.ee/7610918,2,3,,,FALSE
postimees.ee/7611269,postimees.ee/7610918,2,3,,,FALSE
postimees.ee/7602076,postimees.ee/7514757,3,2,,,FALSE
postimees.ee/7557351,postimees.ee/7545021,2,3,,,FALSE
postimees.ee/7550827,postimees.ee/7511105,3,2,,,FALSE
postimees.ee/7539075,postimees.ee/7525632,3,2,,,FALSE
postimees.ee/7521683,postimees.ee/7511105,3,3,,,FALSE
postimees.ee/7521683,postimees.ee/7512804,3,3,,,FALSE
postimees.ee/7518976,postimees.ee/7511105,2,3,,,FALSE
postimees.ee/7516407,postimees.ee/7507085,3,2,,,FALSE
postimees.ee/7505197,postimees.ee/7496707,2,3,,,FALSE
postimees.ee/7497004,postimees.ee/7492116,2,3,,,FALSE
postimees.ee/8131057,postimees.ee/7916646,2,3,,,FALSE
postimees.ee/8118853,postimees.ee/8118576,3,3,,,FALSE
postimees.ee/8117705,err.ee/1609469617,2,3,,,FALSE
postimees.ee/8114253,postimees.ee/8105980,3,2,,,FALSE
postimees.ee/8112254,postimees.ee/8110033,3,2,,,FALSE
postimees.ee/8108283,postimees.ee/7225370,2,3,,,FALSE
postimees.ee/8105114,postimees.ee/8105111,3,2,,,FALSE
postimees.ee/8104155,postimees.ee/8099978,3,3,,,FALSE
postimees.ee/8102334,postimees.ee/7888836,2,3,,,FALSE
postimees.ee/8098116,postimees.ee/8090012,3,2,,,FALSE
postimees.ee/8093342,postimees.ee/8090845,2,3,,,FALSE
postimees.ee/8072522,postimees.ee/8065840,3,2,,,FALSE
postimees.ee/8067541,postimees.ee/8065128,2,3,,,FALSE
postimees.ee/8038026,postimees.ee/8036996,2,3,,,FALSE
postimees.ee/8038026,postimees.ee/6981919,3,2,,,FALSE
postimees.ee/8034759,postimees.ee/8033694,3,2,,,FALSE
postimees.ee/8029255,postimees.ee/7520288,2,3,,,FALSE
postimees.ee/8023062,postimees.ee/7454689,3,2,,,FALSE
postimees.ee/8008650,postimees.ee/8008441,2,3,,,FALSE
postimees.ee/7996459,postimees.ee/7996355,2,3,,,FALSE
postimees.ee/7972119,postimees.ee/7971623,2,3,,,FALSE
postimees.ee/7971683,postimees.ee/7971623,2,3,,,FALSE
postimees.ee/7965631,postimees.ee/7964327,2,3,,,FALSE
postimees.ee/7964840,postimees.ee/7964327,3,3,,,FALSE
postimees.ee/7964352,err.ee/1609259115,3,2,,,TRUE
postimees.ee/7964185,postimees.ee/7963592,2,3,,,FALSE
postimees.ee/7954284,postimees.ee/7952836,2,3,,,FALSE
postimees.ee/7952657,postimees.ee/7019433,3,2,,,FALSE
postimees.ee/7944208,postimees.ee/7158645,2,3,,,TRUE
postimees.ee/7943281,postimees.ee/7942198,3,2,,,FALSE
postimees.ee/8130548,postimees.ee/8116049,3,2,,,FALSE
postimees.ee/8116459,postimees.ee/7741983,2,3,,,FALSE
postimees.ee/8085014,postimees.ee/7943512,2,3,,,FALSE
postimees.ee/8048004,postimees.ee/7544462,3,2,,,FALSE
postimees.ee/8037377,postimees.ee/7860154,2,3,,,FALSE
postimees.ee/7675110,postimees.ee/7609523,2,3,,,FALSE
postimees.ee/7619469,postimees.ee/7547671,2,3,,,FALSE
postimees.ee/6557267,postimees.ee/6545918,3,2,,,FALSE
postimees.ee/6557267,postimees.ee/6502634,2,3,,,FALSE
postimees.ee/6515331,postimees.ee/6498810,2,3,,,FALSE
postimees.ee/3895859,postimees.ee/6504277,2,2,,,FALSE
postimees.ee/6504310,postimees.ee/6464862,3,2,,,FALSE
postimees.ee/6495242,postimees.ee/6463947,3,2,,,FALSE
postimees.ee/6495242,postimees.ee/6465675,3,2,,,FALSE
postimees.ee/6443104,postimees.ee/4434733,2,3,,,FALSE
postimees.ee/6419993,err.ee/866111,2,2,,,TRUE
postimees.ee/4212243,err.ee/613047,2,2,,,FALSE
postimees.ee/4197969,postimees.ee/4187837,2,3,,,FALSE
delfi.ee/artikkel/120346524,err.ee/1609562332,2,3,,,FALSE
delfi.ee/artikkel/120344064,delfi.ee/artikkel/120343464,2,3,,,FALSE
delfi.ee/artikkel/120333533,delfi.ee/artikkel/120333439,2,2,,,TRUE
delfi.ee/artikkel/120333533,delfi.ee/artikkel/120333387,3,2,2,3,TRUE
delfi.ee/artikkel/120316589,delfi.ee/artikkel/120316220,2,3,,,FALSE
delfi.ee/artikkel/120316589,delfi.ee/artikkel/120316293,3,2,,,FALSE
delfi.ee/artikkel/120313421,delfi.ee/artikkel/120279895,3,2,,,FALSE
delfi.ee/artikkel/120312315,delfi.ee/artikkel/120310955,2,3,,,FALSE
delfi.ee/artikkel/120305592,postimees.ee/8048017,3,3,,,FALSE
delfi.ee/artikkel/120305592,postimees.ee/8050892,3,2,,,FALSE
delfi.ee/artikkel/120283165,delfi.ee/artikkel/120282292,2,3,,,FALSE
delfi.ee/artikkel/120263877,delfi.ee/artikkel/120263615,2,3,3,,FALSE
delfi.ee/artikkel/120263877,delfi.ee/artikkel/120263739,2,3,,,FALSE
delfi.ee/artikkel/120263852,delfi.ee/artikkel/120263615,2,3,,,FALSE
delfi.ee/artikkel/120257855,err.ee/1609203184,2,3,,,FALSE
delfi.ee/artikkel/120257855,delfi.ee/artikkel/120257531,2,3,,,FALSE
delfi.ee/artikkel/120244640,delfi.ee/artikkel/120214092,2,3,,,FALSE
delfi.ee/artikkel/120242662,err.ee/1609143308,2,3,,,FALSE
delfi.ee/artikkel/120235824,delfi.ee/artikkel/120232526,2,3,,,FALSE
delfi.ee/artikkel/120211926,delfi.ee/artikkel/120210196,3,2,,,FALSE
delfi.ee/artikkel/120143874,delfi.ee/artikkel/92635193,3,2,,,FALSE
